#{"t_start": 1764939802.515601, "env_id": "highway-construction-v0"}
r,l,t
-42.587881,26,1035.522121
-46.058001,13,1035.616055
-34.948546,14,1035.70729
-14.188165,29,1035.896371
-20.907187,23,1036.063726
-36.282556,17,1036.190639
-50.193139,6,1036.231986
-49.327667,2,1036.247395
-46.379526,5,1036.281807
-46.479893,6,1036.327149
-180.159429,301,1038.247794
-42.043278,37,1038.504257
-48.580127,16,1038.610242
-35.253823,29,1038.801727
-30.670179,44,1039.114799
-38.758861,10,1039.189603
-46.669777,3,1039.211469
-234.72652,514,2088.560899
-21.507983,28,2088.738046
-47.343963,41,2089.013142
-47.571412,10,2089.094252
-44.100367,27,2089.282217
-48.269777,3,2089.307237
-47.82022,6,2089.35862
-38.595701,19,2089.596506
-41.08924,15,2089.701637
-40.148465,11,2089.77329
-36.987181,129,2090.632077
-48.189041,7,2090.680317
-46.190172,17,2090.789913
-50.0,1,2090.798945
-20.763231,90,2091.385782
-34.114506,14,2091.476265
-48.225411,13,2091.559535
-46.873859,15,2091.656314
-38.337088,20,2091.777989
-44.466212,73,2092.23363
-886.484143,600,2095.89885
-21.39621,25,2096.07349
-40.013755,25,2096.322464
-40.820124,14,2096.435959
-50.0,1,2096.445769
-44.442933,15,2096.5623
-48.655333,3,2096.586729
-46.228301,13,2096.687423
-43.667692,10,2096.762468
-50.0,1,2096.773685
1.52477,48,2097.134682
-50.0,1,2097.144265
-47.756052,3,2097.171812
-43.430528,11,2097.261418
-50.0,1,2097.271891
-46.401077,5,2097.307563
-28.657583,27,2097.51139
-50.0,1,2097.521156
-44.146125,13,2097.614535
-32.772347,44,2097.922499
-21.125338,38,2098.184725
-39.697632,34,2098.453764
-45.693519,15,2098.559027
-47.562661,11,2098.641625
-4.986281,73,2099.127325
-46.01507,19,2099.255365
-33.141123,27,2099.433315
-46.689683,35,2099.667153
-32.279072,46,2099.97979
-43.87836,11,2100.055152
-45.662906,18,2100.177671
-41.372758,10,2100.245838
-45.528188,18,2100.374043
-45.450837,8,2100.432114
-49.317821,3,2100.453658
-50.855236,31,2100.672828
-46.360679,12,2100.755461
-45.918287,28,2100.940346
-37.907172,51,2101.311356
-26.687153,57,2101.67105
-653.470968,600,2105.260447
-43.545459,16,2105.368791
-46.607579,3,2105.390707
-34.960663,28,2105.57562
-35.74237,10,2105.641883
-51.294497,4,2105.669883
-15.499876,59,2106.063431
-47.185841,8,2106.120869
-39.903616,30,2106.325165
-48.856052,3,2106.347615
-1373.642749,600,2110.25041
-73.793919,78,2110.805691
-45.487481,12,2110.889411
-44.62231,9,2110.951536
-44.566607,7,2110.997405
-45.403449,20,2111.133894
-47.905919,15,2111.237697
-46.990237,28,2111.415699
-32.882779,33,2111.641995
-15.043988,32,2111.916444
-39.564046,27,2112.099964
-32.069937,32,2112.325566
-46.704187,3,2112.349269
-38.997873,12,2112.426658
-13.568875,38,2112.687457
-24.511692,22,2112.848984
-50.0,1,2112.858297
30.728334,77,2113.370393
-42.02888,32,2113.60474
-47.666385,12,2113.692522
-44.30222,19,2113.814364
-36.337867,33,2114.026413
-42.231726,20,2114.163225
-42.695343,14,2114.262831
-50.023984,7,2114.311062
-16.048892,47,2114.628683
-47.297884,9,2114.688165
-30.665898,19,2114.816003
-37.770634,33,2115.027193
-47.35496,14,2115.122791
-46.690092,19,2115.249259
-33.333944,34,2115.493946
-35.381899,28,2115.710648
-40.83757,9,2115.809638
-42.857607,11,2115.886528
-48.164795,42,2116.181238
-33.261176,11,2116.255917
-33.451515,28,2116.438609
-10.810164,135,2117.405608
-50.0,1,2117.415793
-44.90539,13,2117.505876
-48.744177,4,2117.535877
-45.833161,5,2117.57071
-50.0,1,2117.580645
-40.470312,32,2117.803074
-46.161459,8,2117.863433
-40.016425,24,2118.021869
-75.139228,139,2118.90824
-34.014174,38,2119.177237
-17.892129,27,2119.363062
-36.145158,33,2119.585026
-42.642818,19,2119.714096
-33.128933,20,2119.85313
-50.0,1,2119.862525
-49.407827,4,2119.891121
-48.60874,7,2119.939777
-46.31366,14,2120.037863
-46.746612,13,2120.124804
-27.341659,43,2120.415334
-47.545087,14,2120.515125
-35.505306,15,2120.626194
-25.414181,45,2120.962185
-50.0,1,2120.971082
-47.776018,5,2121.004486
-48.64211,2,2121.019631
-48.687396,10,2121.087758
-45.048534,4,2121.116409
-38.423228,17,2121.231918
-29.696841,28,2121.423459
-35.400997,15,2121.533707
-44.870188,21,2121.675566
-40.556577,22,2121.821644
-42.995721,8,2121.883145
-48.658688,9,2121.944294
-41.099735,18,2122.078757
-8.968077,43,2122.357233
-47.111018,7,2122.409017
-42.771517,13,2122.497844
-45.692313,6,2122.543881
-44.919319,6,2122.58202
-39.324035,23,2122.725272
-45.879685,19,2122.859974
-25.378838,31,2123.080929
-47.614709,8,2123.134061
-50.0,1,2123.143508
-50.0,1,2123.153116
2.855811,134,2124.03758
-49.999842,9,2124.101821
-44.205017,20,2124.242055
-43.490273,22,2124.394559
-43.470208,7,2124.445095
-46.021349,6,2124.491034
-1367.657045,600,2128.290178
5.163205,51,2128.627175
-50.0,1,2128.636921
-48.84211,2,2128.652531
-50.0,1,2128.66203
-50.0,1,2128.671263
-26.324928,26,2128.844961
-46.329061,10,2128.913801
-34.27423,23,2129.066892
-50.029018,11,2129.144551
-50.933846,4,2129.173998
-44.96742,32,2129.383028
-30.839633,78,2129.947996
-47.974469,100,2130.598475
-27.401243,47,2130.933558
-48.3601,7,2130.9854
-8.505878,35,2131.224822
-40.903576,28,2131.429811
-42.236651,24,2131.592448
-38.605875,13,2131.676831
-48.917821,3,2131.700981
-139.976957,331,3036.423859
-21.268022,33,3036.634187
-22.147144,29,3036.824774
-25.118192,72,3037.275169
-1309.920982,600,3041.124805
-45.475838,25,3041.28259
-45.269972,39,3041.524634
-1177.466485,600,3045.053021
-32.970986,27,3045.244978
-36.825265,32,3045.457727
-40.37728,27,3045.63744
-41.538428,27,3045.810663
-30.708253,17,3045.919315
-41.876461,15,3046.014649
-34.048708,20,3046.159025
-50.0,1,3046.1695
-26.617503,40,3046.444404
-34.383826,14,3046.534558
-36.483808,68,3046.969267
-50.0,1,3046.978489
-50.0,1,3046.988646
-50.0,1,3046.997619
-18.100629,39,3047.262436
-20.209614,25,3047.433971
-50.0,1,3047.443111
-40.564123,11,3047.519049
-49.591848,43,3047.804176
-46.81266,36,3048.045384
-34.547026,16,3048.147838
-1597.380499,600,3051.927631
-13.240054,54,3052.28698
-41.627173,17,3052.399096
-43.980856,7,3052.447083
-28.659994,37,3052.740579
-47.401563,6,3052.794447
-36.373132,20,3052.979094
-31.027883,39,3053.233823
-47.234611,23,3053.395813
-29.122573,25,3053.551171
-40.84744,7,3053.605293
-45.069914,12,3053.680862
-43.651526,15,3053.786677
-34.554181,14,3053.878164
-42.837462,23,3054.015666
-41.177178,12,3054.095448
-6.925135,63,3054.509155
-43.561593,30,3054.720662
-44.129253,42,3055.015044
-36.47244,39,3055.262714
-44.949606,4,3055.293786
-32.918199,21,3055.432914
-36.591531,11,3055.504309
-41.501552,6,3055.547616
-24.326689,54,3055.934514
-48.135009,5,3055.968172
-36.129353,14,3056.056717
-58.590352,43,3056.349576
-47.983503,11,3056.418364
-50.0,1,3056.426856
-29.082605,17,3056.537258
-46.83146,27,3056.721859
-37.65155,43,3057.001447
-27.101072,40,3057.274272
-50.379353,2,3057.289942
-44.681725,10,3057.359841
-46.713094,22,3057.50834
-48.34211,2,3057.524295
-46.573517,13,3057.612112
-11.547426,31,3057.811993
-1319.24898,600,3061.433868
-44.544444,13,3061.526848
-47.728878,13,3061.617462
-45.345453,4,3061.649264
-42.010794,9,3061.71528
-38.014638,11,3061.787489
-32.14228,25,3061.946267
-32.923128,20,3062.083791
-42.372671,6,3062.125219
-47.898173,12,3062.212501
-43.403964,13,3062.306023
-43.845865,16,3062.415562
-40.162163,28,3062.592708
-41.60023,15,3062.704456
-41.352715,16,3062.811765
-920.455488,600,3066.58895
-39.10731,75,3067.074376
-41.02561,15,3067.170161
-31.056693,32,3067.384893
-50.0,1,3067.394031
-356.376643,398,3070.037609
-46.966329,8,3070.095791
-49.607646,7,3070.142866
-46.281068,55,3070.511336
-43.976179,6,3070.553431
-60.707976,51,3070.926725
-21.865242,28,3071.115991
-43.669334,33,3071.329443
38.109521,133,3072.203188
-48.593557,37,3072.476917
-51.460702,17,3072.609346
-48.350331,16,3072.724997
-46.70305,5,3072.76373
-50.0,1,3072.773581
-36.344178,43,3073.109775
-38.761738,23,3073.276113
-34.941936,22,3073.425845
-51.32317,29,3073.645123
-51.294497,4,3073.676347
-44.906698,22,3073.838165
-1274.717697,600,3078.372006
-20.152267,33,3078.607887
-35.855851,18,3078.735863
-35.61141,21,3078.888026
-45.687736,23,3079.045104
-50.0,1,3079.054691
-50.0,1,3079.064197
-43.991923,16,3079.173582
-50.0,1,3079.183157
-33.929767,27,3079.351764
-48.851546,14,3079.455449
-45.718909,42,3079.736681
-40.142001,17,3079.852318
-45.562107,12,3079.940456
-32.001209,14,3080.030542
-44.747295,11,3080.112818
-43.25451,29,3080.306899
-21.707347,47,3080.656996
-50.0,1,3080.666244
-43.273499,5,3080.700333
-44.092454,18,3080.819839
-47.060771,15,3080.933013
-65.033456,135,3081.880302
-33.294279,51,3082.243627
-37.988001,32,3082.479695
-42.566335,15,3082.586333
-42.250811,8,3082.639407
-40.84546,38,3082.8838
-39.198531,26,3083.057158
-44.485519,15,3083.156383
-32.658423,18,3083.274202
-44.431087,12,3083.354537
-46.318602,15,3083.453427
-46.706569,14,3083.547213
-41.386975,21,3083.684581
-39.544139,12,3083.787401
-46.050388,41,3084.068098
-43.130295,16,3084.180297
-31.97018,17,3084.293809
-50.0,1,3084.303074
-62.092542,64,3084.688411
-49.870758,10,3084.755443
-42.249031,9,3084.815753
-45.912124,12,3084.898962
-46.669777,3,3084.922002
-50.0,1,3084.931354
-17.187823,66,3085.397231
-40.862073,16,3085.514566
-30.079416,36,3085.772703
-29.840645,26,3085.943574
-31.926304,20,3086.070609
-38.508301,40,3086.345059
-50.0,1,3086.355023
-45.597443,4,3086.382599
-44.430683,12,3086.461271
-42.984171,19,3086.604184
-98.092034,158,3087.646212
-34.936875,43,3087.927543
-42.526319,20,3088.066338
-40.615081,12,3088.156648
-44.015342,20,3088.301831
-45.896452,43,3088.585859
-40.275189,22,3088.730472
-46.112723,26,3088.931659
-304.228837,446,3092.097287
-46.576427,21,3092.241144
-40.71641,42,3092.541308
-42.1524,17,3092.666583
-40.067674,14,3092.762303
-41.431611,13,3092.856477
-39.517544,45,3093.173413
-37.251597,14,3093.26892
-46.579745,3,3093.291699
-49.304987,4,3093.320675
-43.981164,25,3093.489579
-40.051131,16,3093.592709
-31.666983,39,3093.832394
-50.179353,2,3093.848565
-41.077157,7,3093.894633
-50.0,1,3093.903307
-50.0,1,3093.91237
-31.060478,24,3094.069662
-50.0,1,3094.079166
-22.775148,42,3094.361015
-50.0,1,3094.369949
-41.74616,9,3094.435931
-44.096831,15,3094.546908
-50.0,1,3094.556111
-43.799971,114,3095.346006
-37.407042,28,3095.540232
-27.746908,42,3095.852394
-47.713554,64,3096.280898
-30.479067,68,3096.782184
-43.839456,6,3096.82342
-79.226629,181,3098.116905
-40.979531,16,3098.223631
-45.758977,14,3098.319348
-35.058084,25,3098.482088
-47.978645,13,3098.570588
-50.0,1,3098.58045
-48.34211,2,3098.597
-31.767138,25,3098.768141
-47.001077,5,3098.803331
-47.279344,34,3099.040327
-34.178066,15,4068.026312
-75.026022,164,4069.067057
11.080993,64,4069.465335
-47.756052,3,4069.489113
-39.797789,13,4069.572122
-38.004671,15,4069.664989
-42.356651,15,4069.761551
-41.743409,14,4069.85303
-38.922351,42,4070.120333
-24.618538,44,4070.397929
-30.978613,61,4070.807106
-47.654332,10,4070.871538
-33.991549,21,4071.013621
-44.42935,20,4071.147275
-23.860411,27,4071.325396
-3.139171,46,4071.628262
-38.595689,23,4071.786914
-17.733458,120,4072.522648
-12.548657,37,4072.771194
-42.724831,25,4072.931014
-50.350952,7,4072.977009
-40.757255,13,4073.060877
-30.548206,22,4073.199894
-48.917821,3,4073.222176
-35.485229,24,4073.374303
-57.129491,125,4074.171667
-47.225742,10,4074.237293
-47.674596,6,4074.281449
-26.447603,21,4074.414457
-47.605471,24,4074.568979
-49.540415,13,4074.65116
-46.433179,7,4074.697882
-43.196518,30,4074.897657
-46.368943,31,4075.109299
-46.84687,8,4075.158814
-40.538635,17,4075.278023
-38.368213,16,4075.378905
-17.497544,29,4075.580212
-29.427191,21,4075.717205
-50.0,1,4075.726785
-38.682009,23,4075.882388
-50.0,1,4075.891318
-47.845488,4,4075.920258
-42.471014,18,4076.04454
-10.821529,95,4076.681373
-44.51675,32,4076.904075
-39.028709,15,4077.003539
-48.54211,2,4077.019532
-50.33203,7,4077.067164
-42.593287,12,4077.14471
-42.227081,9,4077.206037
-46.743045,14,4077.299026
-45.435377,7,4077.346418
-50.0,1,4077.355717
-16.258875,42,4077.642064
-50.0,1,4077.650961
-43.569611,76,4078.150744
-44.321365,27,4078.313321
-75.463878,70,4078.744043
-47.50597,20,4078.872376
-43.730532,15,4078.966637
-33.580424,18,4079.078148
-24.027504,24,4079.234495
-50.0,1,4079.244268
-44.805478,4,4079.274508
-49.645488,4,4079.301184
-606.802933,600,4083.591676
-41.48613,31,4083.808756
-32.628825,28,4083.992732
-50.894816,33,4084.227932
-39.252532,25,4084.398481
-36.968319,17,4084.53376
-50.0,1,4084.544787
-39.149957,31,4084.820179
-33.757671,17,4084.945452
-43.507339,39,4085.241296
-50.0,1,4085.249977
-50.559455,10,4085.321295
-21.672899,38,4085.584015
-38.354497,13,4085.669459
-42.187466,17,4085.789572
-38.334326,8,4085.843555
-45.268391,10,4085.913233
-45.917752,15,4086.020895
-28.723433,31,4086.227193
-29.124458,22,4086.379798
-32.470146,23,4086.537864
-49.523816,5,4086.574639
-28.665442,20,4086.712262
-50.0,1,4086.721693
-33.124145,22,4086.883373
-40.579429,14,4086.974737
-50.0,1,4086.983607
-46.704187,3,4087.006261
-44.785983,45,4087.30434
-39.737232,11,4087.373188
-50.0,1,4087.382109
-34.401959,29,4087.604891
-43.716637,9,4087.672477
-48.269777,3,4087.695172
-46.305724,9,4087.776325
-39.341538,23,4087.939199
-50.0,1,4087.948531
-50.0,1,4087.957777
-44.582683,22,4088.111741
-50.0,1,4088.120641
-45.278012,41,4088.390066
-41.536561,41,4088.657348
-36.790713,88,4089.254317
-1386.969477,600,4093.091918
-51.138306,77,4093.608478
-47.983,4,4093.637452
-44.590713,5,4093.670788
-43.305619,23,4093.834801
-50.872789,4,4093.863294
-32.799153,18,4093.99896
-40.168935,13,4094.087443
-24.808451,26,4094.278034
-43.252959,10,4094.348339
-50.036871,10,4094.414976
-63.610541,42,4094.703598
-43.390884,11,4094.77999
-33.393825,28,4094.96662
-42.609654,7,4095.01391
-39.713052,30,4095.217843
-33.131582,14,4095.31113
-19.557434,27,4095.515933
-40.996957,24,4095.66648
-48.625271,12,4095.757427
-45.152357,48,4096.064681
-11.303507,52,4096.417253
-45.935107,15,4096.520161
-50.379353,2,4096.536139
-29.411378,24,4096.709538
-43.37015,5,4096.74306
-50.0,1,4096.752851
